case_id,category,title,difficulty,topology,symptoms,user_report,device,relevant_config,expected_behavior,root_cause,correct_fix,severity,packet_tracer_file
NET001,VLAN,Wrong Access VLAN,Easy,PC-SWITCH,"PC cannot ping its default gateway","My computer has an IP address but cannot access the network",SW1,"interface Fa0/10 | switchport mode access | switchport access vlan 20","PC should be assigned to VLAN 10","Access port is assigned to VLAN 20 instead of VLAN 10","Configure Fa0/10 as an access port in VLAN 10",Medium,NET001_wrong_access_vlan.pkt
NET002,VLAN,VLAN Not Created,Easy,PC-SWITCH,"PC cannot communicate with other devices in the same VLAN","The VLAN is configured on the port but communication fails",SW1,"interface Fa0/10 | switchport mode access | switchport access vlan 30","VLAN 30 should exist on the switch","VLAN 30 has not been created","Create VLAN 30 and assign the required access port",Medium,NET002_vlan_not_created.pkt
NET003,VLAN,Trunk Not Configured,Medium,SWITCH-SWITCH,"Devices in the same VLAN on different switches cannot communicate","The two switches are connected but VLAN traffic is not passing",SW1,"interface Gi0/1 | switchport mode access","The inter-switch link should carry multiple VLANs","Inter-switch connection is configured as an access port instead of a trunk","Configure the inter-switch link as a trunk",High,NET003_trunk_error.pkt
NET004,VLAN,VLAN Missing From Allowed Trunk,Medium,SWITCH-SWITCH,"VLAN 20 devices cannot communicate across switches","Other VLANs work but VLAN 20 does not",SW1,"interface Gi0/1 | switchport mode trunk | switchport trunk allowed vlan 10","VLAN 20 should be carried across the trunk","VLAN 20 is missing from the allowed VLAN list","Allow VLAN 20 on the trunk",Medium,NET004_allowed_vlan.pkt
NET005,VLAN,Native VLAN Mismatch,Medium,SWITCH-SWITCH,"Trunk link reports native VLAN mismatch","The switches show connectivity warnings",SW1-SW2,"SW1 native VLAN 10 | SW2 native VLAN 20","Both trunk interfaces should use the same native VLAN","Native VLAN values do not match","Configure the same native VLAN on both trunk interfaces",Medium,NET005_native_vlan.pkt
NET006,DHCP,Incorrect DHCP Pool Network,Easy,ROUTER-PC,"PC receives no valid IP address","My PC keeps getting an incorrect IP address",R1,"ip dhcp pool USERS | network 192.168.20.0 255.255.255.0","Clients should receive addresses from the 192.168.10.0/24 network","DHCP pool references the wrong network","Change the DHCP pool network to 192.168.10.0/24",High,NET006_dhcp_pool.pkt
NET007,DHCP,Incorrect DHCP Exclusion,Medium,ROUTER-PC,"Available DHCP addresses are unexpectedly limited","Only a small number of clients can obtain addresses",R1,"ip dhcp excluded-address 192.168.10.1 192.168.10.250","Only reserved addresses should be excluded","Most of the DHCP pool has been excluded","Reduce the excluded address range",Medium,NET007_dhcp_exclusion.pkt
NET008,DHCP,DHCP Server Unreachable,Medium,CLIENT-ROUTER-SERVER,"Remote clients do not receive DHCP addresses","Clients on another subnet cannot obtain an IP",R1,"DHCP server is on 192.168.20.10","DHCP requests should reach the remote server","Routing or relay configuration prevents DHCP requests reaching the server","Restore routing and DHCP relay connectivity",High,NET008_dhcp_server.pkt
NET009,DHCP,Missing DHCP Relay,Medium,ROUTER-SWITCH-SERVER,"Clients receive no address from remote DHCP server","The DHCP server works for its local subnet but not another subnet",R1,"interface G0/1 | no ip helper-address 192.168.20.10","DHCP broadcasts should be relayed to the server","ip helper-address is missing","Configure ip helper-address on the client-facing interface",High,NET009_dhcp_relay.pkt
NET010,DHCP,DHCP Pool Exhaustion,Easy,ROUTER-SWITCH-CLIENTS,"New clients cannot obtain an IP address","Existing clients work but new devices cannot connect",R1,"DHCP pool contains only a small number of usable addresses","The pool should have sufficient addresses for clients","All available DHCP addresses have been allocated","Expand the DHCP address pool or release unused leases",Medium,NET010_dhcp_exhaustion.pkt
